Name,Address,City,Rabbi,Affiliation,Phone,Email,Website,Social_Media,Shacharit,Mincha,Maariv,Shabbat,Sunday,Weekday,Kosher_Info,Parking,Accessibility,Additional_Info,URL,Data_Quality_Score,Is_Chabad,Is_Young_Israel,Is_Sephardic,Has_Address,State,Has_Zip
Hanefesh Haelokit,"5650 Stirling Rd, Hollywood, FL 33021, USA",441 Corridor,Rabbi  Israel Nasrati,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/20136/hanefesh-haelokit,3,No,No,No,Yes,FL,No
Shalom Rav,"42 SW 54th Ct, Fort Lauderdale, FL 33314, USA",441 Corridor,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24653/shalom-rav,2,No,No,No,Yes,FL,No
Young Israel Of Hollywood-Fort Lauderdale,"3291 Stirling Rd, Fort Lauderdale, FL 33312, USA",Arapahoe Farms,Rabbi  Yosef Weinstock,Modern Orthodox,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/1170/young-israel-of-hollywood-fort-lauderdale,3,No,Yes,No,Yes,FL,No
Etz Chaim Synagogue,"10167 San Jose Blvd, Jacksonville, FL 32257, USA",Arrowhead,Rabbi  Yaakov Fisch,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/742/etz-chaim-synagogue,3,No,No,No,Yes,FL,No
Jacksonville Kollel,"3651 Crown Point Rd, Jacksonville, FL 32257, USA",Arrowhead,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24491/jacksonville-kollel,2,No,No,No,Yes,FL,No
Aventura Chabad,"2801 NE 210th St, Aventura, FL 33180, USA",Aventura,Rabbi  Laivi Forta,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/4385/aventura-chabad,3,Yes,No,No,Yes,FL,No
Breslev Learning Center,"19088 NE 29th Ave, Aventura, FL 33180, USA",Aventura,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22298/breslev-learning-center-,2,No,No,No,Yes,FL,No
Chabad At Waterways,"3585 NE 207th St, Aventura, FL 33180, USA",Aventura,,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23471/chabad-at-waterways-,2,Yes,No,No,Yes,FL,No
Edmond J. Safra,"19275 Mystic Pointe Dr, Aventura, FL 33180, USA",Aventura,Rabbi  Yosef Galimidi,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7437/edmond-j.-safra,3,No,No,No,Yes,FL,No
Lev Tov Congregation,"3585 NE 207th St, Aventura, FL 33180, USA",Aventura,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/21680/lev-tov-congregation,2,No,No,No,Yes,FL,No
Lubavitch Aventura South,"18449 NE 28th Ct, Aventura, FL 33160, USA",Aventura,Rabbi  Mendel Rosenfeld,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7001/lubavitch-aventura-south,3,Yes,No,No,Yes,FL,No
Willie & Celia Trump Synagogue Of Williams Island,"2000 W Island Blvd, Aventura, FL 33160, USA",Aventura,Rabbi  Jonathan Horowitz,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/3075/willie-&-celia-trump-synagogue-of-williams-island,3,No,No,No,Yes,FL,No
Young Israel Of Aventura,"3575 NE 207th St, Aventura, FL 33180, USA",Aventura,,Modern Orthodox,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/2853/young-israel-of-aventura,2,No,Yes,No,Yes,FL,No
Ahavas Torah,"424 W 40th St, Miami Beach, FL 33140, USA",Bayshore,Rabbi  H. Tzvi Neuhaus,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/4154/ahavas-torah,3,No,No,No,Yes,FL,No
Bais Menachem,"444 W 40th St, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Yehuda Leib Schapiro,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/16627/bais-menachem,3,No,No,No,Yes,FL,No
Beth Eliyahu Mani Sepharadic Shul,"4016 Royal Palm Ave, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Rafael Muratov,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/17390/beth-eliyahu-mani-sepharadic-shul,3,No,No,No,Yes,FL,No
Beth Israel Congregation,"770 W 40th St, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Donald Bixon,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/3421/beth-israel-congregation,3,No,No,No,Yes,FL,No
Congregation Beth-El At The Hebrew Academy,"2400 Pine Tree Dr, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Soloman Shiff,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/18100/congregation-beth-el-at-the-hebrew-academy,3,No,No,No,Yes,FL,No
Congregation Zichron Naftali,"3791 Royal Palm Ave, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Yisroel Janowski,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/10119/congregation-zichron-naftali,3,No,No,No,Yes,FL,No
Miami Beach Community Kollel,"3767 Chase Ave, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Yaakov Gross,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/2072/miami-beach-community-kollel,3,No,No,No,Yes,FL,No
Chabad Of Bonita Springs & Estero,"24611 S Tamiami Trl, Bonita Springs, FL 34135, USA",Bonita Springs,Rabbi  Mendy Greenberg,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/20084/chabad-of-bonita-springs-&-estero,3,Yes,No,No,Yes,FL,No
Anshei Chesed Congregation,"10683 El Clair Ranch Rd, Boynton Beach, FL 33437, USA",Boynton Beach,Rabbi  Avi Billet,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/4092/anshei-chesed-congregation,3,No,No,No,Yes,FL,No
Chabad Jewish Center Of West Boynton,"9406 Boynton Beach Blvd, Boynton Beach, FL 33472, USA",Boynton Beach,,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24575/chabad-jewish-center-of-west-boynton,2,Yes,No,No,Yes,FL,No
Chabad-Lubavitch Of Greater Boynton Beach,"10655 El Clair Ranch Rd, Boynton Beach, FL 33437, USA",Boynton Beach,Rabbi  Sholom Ciment,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/2125/chabad-lubavitch-of-greater-boynton-beach,3,Yes,No,No,Yes,FL,No
Netzach Yisroel,"10289 Isle Wynd Ct, Boynton Beach, FL 33437, USA",Boynton Beach,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24432/netzach-yisroel,2,No,No,No,Yes,FL,No
Chabad Of Bradenton,"5712 Lorraine Rd, Bradenton, FL 34211, USA",Bradenton,,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23970/chabad-of-bradenton,2,Yes,No,No,Yes,FL,No
Chabad Of Bradenton & Lakewood Ranch,"5712 Lorraine Rd, Bradenton, FL 34211, USA",Bradenton,,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23968/chabad-of-bradenton-&-lakewood-ranch-,2,Yes,No,No,Yes,FL,No
The Rok Family Shul  - Chabad Downtown Jewish Center,"35 SE 9th St, Miami, FL 33130, USA",Brickell,Rabbi  Chaim Lipskar,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7893/the-rok-family-shul----chabad-downtown-jewish-center-,3,Yes,No,No,Yes,FL,No
Last Week Of August In Orlando,"700 Bloom St, Celebration, FL 34747, USA",Celebration,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/21932/last-week-of-august-in-orlando,2,No,No,No,Yes,FL,No
Out In Brooklyn,"3 Golfs Edge, West Palm Beach, FL 33417, USA",Century Village,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22441/out-in-brooklyn,2,No,No,No,Yes,FL,No
Eli Langbaum,"Champions Gate Blvd, Four Corners, FL, USA",Championsgate,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/21887/eli-langbaum,2,No,No,No,Yes,FL,No
Shabbos In Orlando,"Championsgate, Four Corners, FL 34747, USA",Championsgate,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22334/shabbos-in-orlando,2,No,No,No,Yes,FL,No
Chabad Lubavitch Of The Panhandle - Tallahassee,"102 Chapel Dr, Tallahassee, FL 32304, USA",Chapel Ridge,Rabbi  Rabbi  Schneur Z. Oirechman,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/1877/chabad-lubavitch-of-the-panhandle---tallahassee,3,Yes,No,No,Yes,FL,No
Bais Menachem Chabad/Weinberg Village,"13005 Community Campus Dr, Tampa, FL 33625, USA",Citrus Park Community,Rabbi  Levi Rivkin,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7270/bais-menachem-chabad/weinberg-village,3,Yes,No,No,Yes,FL,No
Chabad House In Miami Beach,"669 Lincoln Ln N, Miami Beach, FL 33139, USA",City Center,Rabbi  Zev Katz,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7599/chabad-house-in-miami-beach,3,Yes,No,No,Yes,FL,No
Chabad Miami- Bet Ovadia,"3713 Main Hwy, Miami, FL 33133, USA",Coconut Grove,Rabbi  Yakov Fellig,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/1700/chabad-miami--bet-ovadia,3,Yes,No,No,Yes,FL,No
Las Olas Chabad Jewish Center,"1302 E Las Olas Blvd, Fort Lauderdale, FL 33301, USA",Colee Hammock,Rabbi  Chaim Slavaticki,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/18030/las-olas-chabad-jewish-center,3,Yes,No,No,Yes,FL,No
Chabad Of Downtown Coral Gables,"1827 Ponce de Leon Blvd, Coral Gables, FL 33134, USA",Coral Gables Section,Rabbi  Avrohom Stolik,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/19575/chabad-of-downtown-coral-gables,3,Yes,No,No,Yes,FL,No
Chabad Of Southwest Coral Springs,"11325 W Atlantic Blvd, Coral Springs, FL 33071, USA",Coral Springs,Rabbi  Yankie Denburg,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/17382/chabad-of-southwest-coral-springs,3,Yes,No,No,Yes,FL,No
Chabad Lubavitch Of Greater Daytona,"1079 W Granada Blvd, Ormond Beach, FL 32174, USA",Costello,Rabbi  Pinchas Ezagui,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/16937/chabad-lubavitch-of-greater-daytona,3,Yes,No,No,Yes,FL,No
Chabad Of Greater Daytona,"1079 W Granada Blvd, Ormond Beach, FL 32174, USA",Costello,Rabbi  Pinchas Ezagui,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/8754/chabad-of-greater-daytona,3,Yes,No,No,Yes,FL,No
Championsgate - Mid-Winter,"9077 Hazard St, Davenport, FL 33896, USA",Davenport,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22041/championsgate---mid-winter,2,No,No,No,Yes,FL,No
Chanuka Solterra,"5200 Solterra Blvd, Davenport, FL 33837, USA",Davenport,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23304/chanuka-solterra,2,No,No,No,Yes,FL,No
Jbh,"5200 Solterra Blvd, Davenport, FL 33837, USA",Davenport,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22751/jbh,2,No,No,No,Yes,FL,No
Orlando Minyan,"1713 Oak Blossom Dr, Davenport, FL 33837, USA",Davenport,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24053/orlando-minyan,2,No,No,No,Yes,FL,No
Pessach Solara,"1500 Solana Cir, Davenport, FL 33897, USA",Davenport,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23489/pessach-solara--,2,No,No,No,Yes,FL,No
"Phoenician Resort, Scottsdale, Az","8575 White Shark Blvd, Davenport, FL 33896, USA",Davenport,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,"https://www.godaven.com/shul-details/21529/phoenician-resort,-scottsdale,-az",2,No,No,No,Yes,FL,No
Sephardic Shabbat Minyan In Daveport Fl,"136 Henley Cir, Davenport, FL 33896, USA",Davenport,,Sephardi,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24460/sephardic-shabbat-minyan-in-daveport-fl-,2,No,No,Yes,Yes,FL,No
Villatel Davenport,"Davenport, FL, USA",Davenport,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24892/villatel-davenport-,2,No,No,No,Yes,FL,No
Chabad At Monterra,"5933 S University Dr, Davie, FL 33328, USA",Davie,Rabbi  Adi Goodman,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24583/chabad-at-monterra-,3,Yes,No,No,Yes,FL,No
Chabad Of Sw Broward,"5960 SW 106th Ave, Davie, FL 33328, USA",Davie,Rabbi  Pinny Andrusier,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/1526/chabad-of-sw-broward,3,Yes,No,No,Yes,FL,No
Sukkat David,"5700 SW 106th Ave, Davie, FL 33328, USA",Davie,Rabbi  Haim Barda,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/5944/sukkat-david,3,No,No,No,Yes,FL,No
Chabad Of Deerfield Beach,"1874 W Hillsboro Blvd, Deerfield Beach, FL 33442, USA",Deerfield Beach,Rabbi  Yossi Goldblatt,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/21495/chabad-of-deerfield-beach,3,Yes,No,No,Yes,FL,No
Kahal Anshei Deerfield,"1892 W Hillsboro Blvd, Deerfield Beach, FL 33442, USA",Deerfield Beach,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23437/kahal-anshei-deerfield,2,No,No,No,Yes,FL,No
Kneses Yechezkel,"1868 W Hillsboro Blvd, Deerfield Beach, FL 33442, USA",Deerfield Beach,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22798/kneses-yechezkel,2,No,No,No,Yes,FL,No
Young Israel Of Deerfield Beach,"202 Century Blvd, Deerfield Beach, FL 33442, USA",Deerfield Beach,Rabbi  Yisroel  Edelman,Modern Orthodox,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/477/young-israel-of-deerfield-beach,3,No,Yes,No,Yes,FL,No
Deland,"4455 Mills Rd, DeLand, FL 32724, USA",DeLand,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24894/deland,2,No,No,No,Yes,FL,No
Anshei Emuna Congregation,"16189 Jog Rd, Delray Beach, FL 33446, USA",Delray Beach,Rabbi  Jack Engel,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/2013/anshei-emuna-congregation,3,No,No,No,Yes,FL,No
Delray Orthodox Synagogue,"7319 W Atlantic Ave, Delray Beach, FL 33446, United States",Delray Beach,,Orthodox,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/2754/delray-orthodox-synagogue,2,No,No,No,Yes,FL,No
Chabad Of The Emerald Coast,"1219 Airport Rd, Destin, FL 32541, USA",Destin,Rabbi  Shaya Tenenboim,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/18537/chabad-of-the-emerald-coast,3,Yes,No,No,Yes,FL,No
Chabad Of Doral,"9572 NW 41st St, Doral, FL 33178, USA",Doral,Rabbi  Avroham Brashevitzky,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7449/chabad-of-doral,3,Yes,No,No,Yes,FL,No
Daily Mincha Minyan,"9990 NW 14th St, Doral, FL 33172, USA",Doral,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/21573/daily-mincha-minyan,2,No,No,No,Yes,FL,No
Freedom Of The Seas 1.22.2024,"PortMiami, Miami, FL 33132, USA",Downtown Miami,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24416/freedom-of-the-seas-1.22.2024,2,No,No,No,Yes,FL,No
Royal Caribbean (Navigator Of The Seas),"1103 N Cruise Blvd, Miami, FL 33132, USA",Downtown Miami,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22209/royal-caribbean-(navigator-of-the-seas),2,No,No,No,Yes,FL,No
Chabad Of Walnut Creek,"7561 Sheridan St, Hollywood, FL 33024, USA",Driftwood,,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22880/chabad-of-walnut-creek,2,Yes,No,No,Yes,FL,No
Chabad At Midtown,"221 NE 29th St, Miami, FL 33137, USA",Edgewater,Rabbi  Shmuel Gopin,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/20050/chabad-at-midtown,3,Yes,No,No,Yes,FL,No
Aish South Florida,"4010 N 46th Ave, Hollywood, FL 33021, USA",Emerald Hills,Rabbi  Tzvi Nightingale,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/4198/aish-south-florida,3,No,No,No,Yes,FL,No
Beis 3770,"3770 N 55th Ave, Hollywood, FL 33021, USA",Emerald Hills,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24067/beis-3770,2,No,No,No,Yes,FL,No
Beis Medrash Heichal Hatorah,"5100 N Hills Dr, Hollywood, FL 33021, USA",Emerald Hills,Rabbi  Moshe Schreck,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23060/beis-medrash-heichal-hatorah-,3,No,No,No,Yes,FL,No
Emerald Hills Jewish Center Chabad,"4001 N Park Rd, Hollywood, FL 33021, USA",Emerald Hills,Rabbi  Leizer Barash,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7944/emerald-hills-jewish-center-chabad,3,Yes,No,No,Yes,FL,No
Hollywood Community Kollel,"4008 N 46th Ave, Hollywood, FL 33021, USA",Emerald Hills,Rabbi  Moshe Parnes,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/17530/hollywood-community-kollel,3,No,No,No,Yes,FL,No
Hollywood Minyen,"5500 N 35th St, Hollywood, FL 33021, USA",Emerald Hills,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22492/hollywood-minyen,2,No,No,No,Yes,FL,No
"The Jewish Center Sephardic Community,","3391 Griffin Rd, Fort Lauderdale, FL 33312, USA",Fort Lauderdale,,Sephardi,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,"https://www.godaven.com/shul-details/24573/-the-jewish-center-sephardic-community,",2,No,No,Yes,Yes,FL,No
3m Rx Ltc,"6545 Nova Dr, Fort Lauderdale, FL 33317, USA",Fort Lauderdale,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24010/3m-rx-ltc,2,No,No,No,Yes,FL,No
6:30 Am Ft Lauderdale Airport Terminal 2.,"100 Terminal Dr, Fort Lauderdale, FL 33315, USA",Fort Lauderdale,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22286/6:30-am-ft-lauderdale-airport-terminal-2.,2,No,No,No,Yes,FL,No
Airport Maariv Minyan,"Terminal 1, 100 Terminal Dr, Fort Lauderdale, FL 33315, USA",Fort Lauderdale,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22339/airport-maariv-minyan,2,No,No,No,Yes,FL,No
Bet Midrash Ohr Hachayim Hakadosh,"2863 Stirling Rd, Fort Lauderdale, FL 33312, USA",Fort Lauderdale,Rabbi  Menachem Razla,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/6868/bet-midrash-ohr-hachayim-hakadosh,3,No,No,No,Yes,FL,No
Bnai Sephardim - Shaari Shalom,"3670 Stirling Rd, Fort Lauderdale, FL 33312, USA",Fort Lauderdale,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/10450/bnai-sephardim---shaari-shalom,2,No,No,No,Yes,FL,No
Celebrity Eastern Carribbean Cruise,"Fort Lauderdale, FL, USA",Fort Lauderdale,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22251/celebrity-eastern-carribbean-cruise,2,No,No,No,Yes,FL,No
Eliyahu Hanavi Beit Midrash For Kiruv,"2615 Stirling Rd, Fort Lauderdale, FL 33312, USA",Fort Lauderdale,Rabbi  Maoz Itshakov,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/18819/eliyahu-hanavi-beit-midrash-for-kiruv,3,No,No,No,Yes,FL,No
Hey Mincha,"2901 Stirling Rd, Fort Lauderdale, FL 33312, USA",Fort Lauderdale,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23307/hey-mincha,2,No,No,No,Yes,FL,No
